Symbol,Entry Point,Exit Point,stop loss,Wins,Losses
TECHM,1055.400024,1083.278999,1044.846024,4,3
INFY,1272.150024,1415.638008,1259.428524,5,1
NTPC,174.5500031,173.2490012,172.804503,8,2
TATASTEEL,109.3499985,106.9800002,108.2564985,2,2
WIPRO,389.6499939,379.4949988,385.753494,4,2
M&M,1232.050049,1226.524998,1219.729548,8,1
HCLTECH,1068.099976,1085.88699,1057.418976,7,1
CIPLA,910.1500244,912.1260022,901.0485242,5,0
TCS,3223,3259.988999,3190.77,7,1
APOLLOHOSP,4508.700195,4375.431982,4463.613193,2,3
BAJAJFINSV,1353.300049,1327.129006,1339.767048,3,2
BAJFINANCE,6258.299805,5974.634004,6195.716807,6,1
BRITANNIA,4516.799805,4357.91001,4471.631807,7,1
BRITANNIA,4516.799805,4357.91001,4471.631807,7,1
WIPRO,389.6499939,379.4949988,385.753494,4,2
PNB,52.75,48.65399986,52.2225,6,1
INDUSTOWER,157.5500031,152.7719998,155.974503,6,1
FORTIS,261.9500122,264.8960031,259.3305121,5,0
SHREECEM,24010,25429.59898,23769.9,7,3
VOLTAS,801.0499878,856.2969971,793.0394879,5,3
TECHM,1054.75,1083.265999,1044.2025,4,3
BAJAJFINSV,1353,1327.123005,1339.47,3,2
LICHSGFIN,350.75,343.85,347.2425,7,2
ICICIGI,1077.099976,1087.191997,1066.328976,5,2
JUBLFOOD,457,442.5000006,452.43,3,2
LTTS,3820,3571.839009,3781.8,4,1
YESBANK,15.94999981,15.90599998,15.79049981,4,3
WHIRLPOOL,1320,1322.093992,1306.8,4,3
ZEEL,197.1000061,203.3379999,195.129006,5,2
HATSUN,850.0499878,858.7459998,841.5494879,1,3
ACC,1757,1757.292,1739.43,6,1
BHARATFORG,805.5499878,799.707002,797.4944879,7,0
LAURUSLABS,312.2000122,309.5499988,309.0780121,3,2
LTIM,4564.149902,4623.912998,4518.508403,5,1
GSPL,283.7000122,273.9240002,280.8630121,5,3
MPHASIS,1854,1921.812996,1835.46,3,3
BAYERCROP,4180.149902,4166.153013,4138.348403,5,3
BAJFINANCE,6257.950195,5974.627012,6195.370693,6,1
KANSAINER,383.5499878,395.4850012,379.7144879,7,3
MOTHERSON,74.15000153,73.55300034,73.40850151,6,2
NTPC,174.6000061,173.2500012,172.854006,8,2
M&M,1233.050049,1226.544998,1220.719548,8,1
L&TFH,94.5,88.02900024,93.555,6,1
ZFCVINDIA,10336.5498,10210.48094,10233.18431,5,2
GUJGASLTD,464.75,484.3770013,460.1025,7,2
PFIZER,3761.600098,3700.117979,3723.984097,3,1
GLAXO,1241.5,1278.748999,1229.085,2,3
UBL,1444.449951,1437.716995,1430.005452,7,1
ABFRL,224.5,226.4109998,222.255,8,0
APLAPOLLO,1217.349976,1218.706995,1205.176476,4,1
SAIL,83.84999847,84.28600021,83.01149849,6,2
COFORGE,4179.350098,4033.106016,4137.556597,6,1
HAPPSTMNDS,826,823.575,817.74,1,3
AFFLE,938,970.6960034,928.62,5,2
IOC,82.09999847,78.46899994,81.27899849,4,2
SUPREMEIND,2731.899902,2636.039004,2704.580903,2,3
CUMMINSIND,1585.75,1601.007998,1569.8925,6,0
CLEAN,1471,1395.149995,1456.29,1,2
SOLARINDS,3827.899902,3814.511021,3789.620903,6,0
SUNTV,433.5,430.258999,429.165,6,1
ASHOKLEY,144.1499939,141.0939987,142.708494,7,1
SKFINDIA,4144.899902,4310.506011,4103.450903,6,1
TIINDIA,2551,2596.721006,2525.49,7,0
NYKAA,127.1999969,134.6219995,125.927997,0,2
ISEC,451.0499878,453.9770007,446.5394879,4,3
BANDHANBNK,229.1000061,218.082001,226.809006,6,2
IDEA,6.800000191,6.561000023,6.732000189,4,2
LICI,551.9000244,570.1730017,546.3810242,0,1
ALKYLAMINE,2552.350098,2396.109014,2526.826597,3,1
TATAPOWER,200.8500061,200.0250003,198.841506,5,1
RAJESHEXPO,562,629.5760034,556.38,5,2
IRCTC,624.25,605.257002,618.0075,5,2
AAVAS,1403,1727.993,1388.97,4,2
EMAMILTD,378,372.0729993,374.22,4,1
SUMICHEM,409.0499878,433.1709991,404.9594879,6,1
AWL,415.5,408.437998,411.345,1,0
